VEOLMS API SQL / PAYLOAD CHECK
Generated: 2026-09-21T18:28:15.591Z
One safe GET request was sent to each documented GET operation.
This is a diagnostic check, not a load test.

STATUS KEY
NO_N_PLUS_ONE_SIGN = one or zero SQL round-trips observed; not proof of perfect SQL.
MULTI_QUERY_REVIEW = several SQL statements; this is not automatically N+1 and needs scale testing.
EXPLAIN_REQUIRED = slow SQL was observed; run EXPLAIN before adding an index.
PAYLOAD_HEAVY = response over 100 KB; check pagination and returned fields.

ENDPOINT RESULTS
listLessonThreads | GET /api/v1/courses/{courseId}/lessons/{lessonId}/threads | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getHealth | GET /api/v1/health | HTTP=200 | total=17ms | SQL=0 | SQL max=0ms | bytes=56 | multi-query=NO_QUERY_OBSERVED | index=NOT_CHECKED | payload=PAYLOAD_OK
getStudentByUsername | GET /api/v1/students/{username} | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listCourseCategories | GET /api/v1/categories | HTTP=401 | total=17ms | SQL=1 | SQL max=9ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listPlatformModerationReports | GET /api/v1/moderation/reports | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getBundleById | GET /api/v1/bundles/manage/{bundleId} | HTTP=401 | total=17ms | SQL=1 | SQL max=5ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listMyQuizAssignments | GET /api/v1/me/quizzes | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getCurrentUserProfile | GET /api/v1/auth/me | HTTP=200 | total=17ms | SQL=0 | SQL max=0ms | bytes=45 | multi-query=NO_QUERY_OBSERVED | index=NOT_CHECKED | payload=PAYLOAD_OK
listLearningReplies | GET /api/v1/threads/{threadId}/replies | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listCourseModerationReports | GET /api/v1/courses/{courseId}/moderation/reports | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getLearningNote | GET /api/v1/notes/{noteId} | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listOrders | GET /api/v1/orders | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getCapabilities | GET /api/v1/me/capabilities | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
getOrderById | GET /api/v1/orders/{orderId} | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
listMyQuizHistory | GET /api/v1/me/quizzes/history | HTTP=401 | total=17ms | SQL=0 | SQL max=0ms | bytes=102 | multi-query=NOT_MEASURED_AUTH | index=NOT_CHECKED | payload=PAYLOAD_OK
